dataset,model,roc_auc,pr_auc,delta,miscalibrated,tau_star,tau_bayes,tau_gap,precision_1,recall_1,f1_1,tp,fp,fn,tn,expected_cost,cfn,cfp,seed
baf,RF,0.8585625301991615,0.15485926337896533,0.7243185251133062,True,0.077,0.09090909090909091,0.013909090909090913,0.12258763292634896,0.44195953141640043,0.1919371001310414,1245,8911,1572,188272,24631.0,10.0,1.0,42
baf,XGB,0.8744978839881276,0.15650851232860508,0.7340820812512139,True,0.8160000000000001,0.09090909090909091,0.7250909090909091,0.22045028142589118,0.25026624068157616,0.2344139650872818,705,2493,2112,194690,23613.0,10.0,1.0,42
baf,LGBM,0.8739845181576325,0.14884878737911833,0.7391279870035851,True,0.855,0.09090909090909091,0.764090909090909,0.22027439024390244,0.20518281860134896,0.2124609446792869,578,2046,2239,195137,24436.0,10.0,1.0,42
baf,DNN,0.8735459212802885,0.16481601513145389,0.7325034162288254,True,0.8140000000000001,0.09090909090909091,0.7230909090909091,0.21590598524186935,0.2804401845935392,0.24397776405188387,790,2869,2027,194314,23139.0,10.0,1.0,42
paysim,LR,0.8230738397353905,0.07530617103252055,0.8009967979695412,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,15,4254,1268255,42555.0,10.0,1.0,42
paysim,RF,0.6278200119484273,0.159840521633609,0.6078870025931987,True,0.973,0.09090909090909091,0.882090909090909,0.8583617747440273,0.11824165491302303,0.20785123966942148,503,83,3751,1268187,37593.0,10.0,1.0,42
paysim,XGB,0.9151571015100184,0.22978174754600478,0.738905139287939,True,0.99,0.09090909090909091,0.899090909090909,0.9011494252873563,0.1842971321109544,0.30601092896174864,784,86,3470,1268184,34786.0,10.0,1.0,42
paysim,LGBM,0.5906627509009095,0.00409960032967369,0.5826692633120244,True,1.0,0.09090909090909091,0.9090909090909091,0.004112586482380814,0.9826046074283028,0.008190890867156683,4180,1012212,74,256058,1012952.0,10.0,1.0,42
paysim,DNN,0.9223966019939819,0.26498025348919657,0.8980916874139375,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,0,4254,1268270,42540.0,10.0,1.0,42
elliptic,LR,0.841863,0.17469,0.4025,True,0.673,0.0909,0.5821,0.1174,0.8834,0.2072,394,2963,52,5904,3483.0,10.0,1.0,42
elliptic,RF,0.845375,0.578265,0.0322,False,0.327,0.0909,0.2361,0.544,0.5269,0.5353,235,197,211,8670,2307.0,10.0,1.0,42
elliptic,XGB,0.852747,0.590241,0.0294,False,0.241,0.0909,0.1501,0.5809,0.5314,0.555,237,171,209,8696,2261.0,10.0,1.0,42
elliptic,LGBM,0.873819,0.595493,0.0288,False,0.105,0.0909,0.0141,0.6071,0.5336,0.568,238,154,208,8713,2234.0,10.0,1.0,42
elliptic,CatBoost,0.885476,0.605006,0.0289,False,0.379,0.0909,0.2881,0.6611,0.5291,0.5878,236,121,210,8746,2221.0,10.0,1.0,42
giveme,LR,0.824977,0.353789,0.4509,True,0.506,0.0909,0.4151,0.2535,0.6316,0.3618,1291,3801,753,24155,11331.0,10.0,1.0,42
giveme,RF,0.850652,0.375145,0.468,True,0.111,0.0909,0.0201,0.2581,0.6678,0.3723,1365,3924,679,24032,10714.0,10.0,1.0,42
giveme,XGB,0.857438,0.384868,0.4571,True,0.56,0.0909,0.4691,0.2774,0.6575,0.3902,1344,3501,700,24455,10501.0,10.0,1.0,42
giveme,LGBM,0.863312,0.40384,0.4577,True,0.571,0.0909,0.4801,0.2722,0.6742,0.3878,1378,3685,666,24271,10345.0,10.0,1.0,42
giveme,CatBoost,0.866005,0.406568,0.4553,True,0.573,0.0909,0.4821,0.2715,0.6815,0.3883,1393,3737,651,24219,10247.0,10.0,1.0,42
creditcard,LR,0.9819593228681421,0.741492154149806,0.20171023591601722,True,0.999,0.09090909090909091,0.9080909090909091,0.7215189873417721,0.76,0.7402597402597403,57,22,18,56865,202.0,10.0,1.0,84
creditcard,RF,0.9465139662840368,0.7927236758378,0.18733369925474153,False,0.14100000000000001,0.09090909090909091,0.0500909090909091,0.7341772151898734,0.7733333333333333,0.7532467532467533,58,21,17,56866,191.0,10.0,1.0,84
creditcard,XGB,0.971372721359889,0.7988980480763538,0.18336463227029054,False,0.788,0.09090909090909091,0.6970909090909091,0.890625,0.76,0.8201438848920863,57,7,18,56880,187.0,10.0,1.0,84
creditcard,LGBM,0.8849420781549386,0.02741265471733875,0.8675602987803163,True,1.0,0.09090909090909091,0.9090909090909091,0.033936651583710405,0.8,0.06511123168746609,60,1708,15,55179,1858.0,10.0,1.0,84
creditcard,DNN,0.9707040272821559,0.794490802671024,0.15791522772686972,False,0.994,0.09090909090909091,0.903090909090909,0.7638888888888888,0.7333333333333333,0.7482993197278912,55,17,20,56870,217.0,10.0,1.0,84
